time_s,altitude_agl_m,AGL_ft
4.277426863,922.540936,3026.856811
4.297782523,927.8611751,3044.312516
4.318138182,933.1708304,3061.733495
4.338493842,938.4699903,3079.120038
4.358849502,943.758742,3096.472432
4.379205162,949.0371719,3113.790961
4.401925723,954.9167594,3133.081888
4.424646283,960.7837114,3152.331357
4.447366844,966.6381439,3171.53975
4.470087404,972.4801709,3190.707441
4.492807964,978.3099046,3209.834797
4.515528525,984.1274547,3228.922179
4.542305662,990.9681881,3251.366625
4.569082798,997.7923204,3273.756603
4.595859935,1004.60002,3296.092665
4.622637071,1011.39145,3318.375348
4.649414208,1018.166772,3340.605178
4.676191344,1024.926142,3362.782672
4.717359436,1035.28747,3396.77819
4.751007752,1043.728847,3424.474348
4.784656068,1052.145942,3452.090835
4.818304384,1060.539042,3479.628596
4.8519527,1068.90843,3507.08856
4.885601017,1077.254385,3534.471637
4.919249333,1085.577177,3561.778717
4.952897649,1093.877072,3589.010674
4.986545965,1102.154331,3616.16836
5.020194281,1110.409208,3643.252611
5.058510003,1119.782191,3674.005368
5.096825724,1129.126767,3704.664923
5.103558726,1130.765916,3710.042972
5.110291728,1132.404193,3715.418157
5.11702473,1134.041597,3720.79048
5.123757731,1135.678128,3726.159939
5.134589646,1138.309115,3734.792207
5.14542156,1140.937846,3743.417072
5.156253474,1143.564321,3752.034537
5.167085388,1146.188542,3760.644605
5.183299501,1150.112484,3773.519061
5.199513613,1154.031382,3786.376965
5.215727725,1157.94524,3799.218332
5.231941838,1161.854061,3812.043173
5.24815595,1165.757848,3824.8515
5.26967362,1170.930781,3841.823892
5.29119129,1176.094865,3858.767254
5.31270896,1181.250112,3875.681617
5.33422663,1186.39653,3892.567014
5.3557443,1191.53413,3909.423481
5.37953754,1197.204798,3928.028942
5.403330781,1202.864714,3946.599126
5.427124021,1208.513894,3965.134087
5.431882669,1209.642443,3968.836857
5.436641317,1210.770564,3972.538221
5.441399965,1211.898257,3976.238181
5.446158613,1213.025521,3979.936735
5.455675909,1215.278766,3987.329632
5.465193205,1217.5303,3994.716916
5.474710501,1219.780126,4002.098592
5.484227797,1222.028242,4009.474664
5.495823038,1224.764892,4018.453609
5.507418278,1227.499008,4027.424246
5.519013518,1230.230594,4036.38658
5.530608759,1232.959651,4045.340616
5.542203999,1235.686181,4054.286359
5.556885608,1239.134821,4065.601348
5.571567216,1242.579416,4076.903062
5.586248825,1246.019967,4088.191513
5.600930434,1249.45648,4099.466711
5.615612042,1252.888957,4110.728669
5.635120962,1257.443795,4125.673092
5.648667941,1260.602487,4136.03676
5.66221492,1263.757753,4146.389189
5.675761898,1266.909597,4156.730388
5.689308877,1270.058021,4167.060367
5.706024287,1273.938105,4179.790922
5.722739698,1277.812992,4192.504428
5.739455109,1281.682688,4205.2009
5.756170519,1285.547197,4217.880355
5.779964474,1291.039289,4235.899909
5.803758429,1296.520894,4253.885053
5.827552384,1301.992023,4271.835827
5.851346339,1307.452687,4289.752265
5.875140294,1312.902897,4307.634406
5.898934249,1318.342666,4325.482286
5.922728205,1323.772003,4343.295942
5.94652216,1329.190922,4361.075415
5.975738618,1335.83055,4382.860034
6.004955077,1342.454515,4404.593263
6.026590658,1347.349662,4420.654241
6.030456662,1348.223461,4423.521174
6.034322666,1349.096986,4426.38721
6.03818867,1349.970238,4429.25235
6.042054675,1350.843216,4432.116592
6.049786683,1352.588354,4437.842388
6.057518692,1354.332398,4443.564599
6.0652507,1356.075351,4449.283226
6.072982708,1357.817212,4454.998272
6.088998274,1361.421716,4466.824651
6.10501384,1365.021543,4478.635683
6.121029406,1368.616698,4490.431385
6.137044971,1372.207184,4502.211772
6.153060537,1375.793009,4513.976862
6.171536509,1379.923923,4527.530393
6.19001248,1384.048648,4541.063615
6.208488452,1388.167191,4554.576552
6.226964423,1392.279558,4568.069231
6.245440395,1396.385759,4581.541674
6.27366238,1402.646076,4602.081775
6.301884366,1408.892042,4622.574788
6.330106352,1415.123677,4643.020783
6.358328338,1421.341,4663.419822
6.381552833,1426.446652,4680.171464
6.404777328,1431.542634,4696.891381
6.428001823,1436.628957,4713.579607
6.451226318,1441.705631,4730.236175
6.474450813,1446.772667,4746.86112
6.50598811,1453.63795,4769.386114
6.537525407,1460.48551,4791.852959
6.569062704,1467.315378,4814.261755
6.595295035,1472.98292,4832.856961
6.621527365,1478.638261,4851.412136
6.647759695,1484.28142,4869.927338
6.673992025,1489.912414,4888.402629
6.700224355,1495.531261,4906.838067
6.732309637,1502.387297,4929.332721
6.764394918,1509.225222,4951.767953
6.770205738,1510.461673,4955.82475
6.776016558,1511.697532,4959.879602
6.781827378,1512.932798,4963.932509
6.787638197,1514.167471,4967.983474
6.799259837,1516.635043,4976.079575
6.810881476,1519.100247,4984.167911
6.822503116,1521.563087,4992.248487
6.834124755,1524.023562,5000.321308
6.86359365,1530.251986,5020.756766
6.893062544,1536.465248,5041.142479
6.922531438,1542.663375,5061.478532
6.952000332,1548.846391,5081.765008
6.992429478,1557.304497,5109.516055
7.032858625,1565.734301,5137.174241
7.073287771,1574.135895,5164.73987
7.113716917,1582.509371,5192.213245
7.154146063,1590.854821,5219.594668
7.194575209,1599.172336,5246.884434
7.235004355,1607.462004,5274.082834
7.275433502,1615.723914,5301.190162
7.320936194,1624.98954,5331.590681
7.366438886,1634.220246,5361.876626
7.411941578,1643.416159,5392.048417
7.45744427,1652.577407,5422.106473
7.502946962,1661.704118,5452.051211
7.555800391,1672.262013,5486.691664
7.598696605,1680.796876,5514.69455
7.634445389,1687.886453,5537.955453
7.639670636,1688.920944,5541.349617
7.644895882,1689.954985,5544.742307
7.650121129,1690.988578,5548.133525
7.660571622,1693.054417,5554.911542
7.671022115,1695.118462,5561.683673
7.681472608,1697.180714,5568.449923
7.691923101,1699.241175,5575.210294
7.709361126,1702.67534,5586.47779
7.726799151,1706.104527,5597.728952
7.744237176,1709.528741,5608.9638
7.761675202,1712.94799,5620.182355
7.779113227,1716.36228,5631.384639
7.804658177,1721.35493,5647.765527
